FORWARD_CHAIN req=32 -> candidate=req30 chain_day=3
COMMIT req=32 type=1 delivery=1 pickup=3
COMMIT req=30 type=1 delivery=3 pickup=6 chained_from=req32
BACKWARDS_EXTEND req=188 onto pool day=3 type=1
COMMIT req=188 type=1 delivery=3 pickup=5 chained_from=req32
BACKWARDS_EXTEND req=428 onto pool day=6 type=1
COMMIT req=428 type=1 delivery=6 pickup=9 chained_from=req30
BACKWARDS_EXTEND req=93 onto pool day=6 type=1
COMMIT req=93 type=1 delivery=6 pickup=7 chained_from=req30
BACKWARDS_EXTEND req=233 onto pool day=5 type=1
COMMIT req=233 type=1 delivery=5 pickup=6 chained_from=req188
BACKWARDS_EXTEND req=83 onto pool day=9 type=1
COMMIT req=83 type=1 delivery=9 pickup=12 chained_from=req428
BACKWARDS_EXTEND req=145 onto pool day=6 type=1
COMMIT req=145 type=1 delivery=6 pickup=9 chained_from=req30
BACKWARDS_EXTEND req=464 onto pool day=5 type=1
COMMIT req=464 type=1 delivery=5 pickup=6 chained_from=req188
BACKWARDS_EXTEND req=309 onto pool day=9 type=1
COMMIT req=309 type=1 delivery=9 pickup=11 chained_from=req428
BACKWARDS_EXTEND req=304 onto pool day=7 type=1
COMMIT req=304 type=1 delivery=7 pickup=9 chained_from=req93
BACKWARDS_EXTEND req=25 onto pool day=12 type=1
COMMIT req=25 type=1 delivery=12 pickup=15 chained_from=req83
BACKWARDS_EXTEND req=208 onto pool day=6 type=1
COMMIT req=208 type=1 delivery=6 pickup=9 chained_from=req30
BACKWARDS_EXTEND req=141 onto pool day=5 type=1
COMMIT req=141 type=1 delivery=5 pickup=7 chained_from=req188
BACKWARDS_EXTEND req=126 onto pool day=9 type=1
COMMIT req=126 type=1 delivery=9 pickup=10 chained_from=req428
BACKWARDS_EXTEND req=404 onto pool day=7 type=1
COMMIT req=404 type=1 delivery=7 pickup=9 chained_from=req93
BACKWARDS_EXTEND req=159 onto pool day=12 type=1
COMMIT req=159 type=1 delivery=12 pickup=13 chained_from=req83
BACKWARDS_EXTEND req=131 onto pool day=11 type=1
